dma_name,dma_code,state
ABILENE - SWEETWATER,662,['TX']
ALBANY - SCHENECTADY - TROY,532,['NY']
"ALBANY, GA",525,['GA']
ALBUQUERQUE - SANTA FE,790,"['AZ', 'NM']"
"ALEXANDRIA, LA",644,['LA']
ALPENA,583,['MI']
AMARILLO,634,"['NM', 'OK', 'TX']"
ANCHORAGE,743,['AK']
ATLANTA,524,['GA']
AUGUSTA,520,"['GA', 'SC']"
AUSTIN,635,['TX']
BAKERSFIELD,800,['CA']
BALTIMORE,512,['MD']
BATON ROUGE,716,['LA']
BEAUMONT - PORT ARTHUR,692,['TX']
"BEND, OR",821,['OR']
BILLINGS,756,"['MT', 'WY']"
BILOXI - GULFPORT,746,['MS']
BINGHAMTON,502,['NY']
BIRMINGHAM (ANN & TUSC),630,['AL']
BLUEFIELD - BECKLEY - OAK HILL,559,"['VA', 'WV']"
BOISE,757,"['ID', 'OR']"
BOWLING GREEN,736,['KY']
BUFFALO,514,"['NY', 'PA']"
BURLINGTON - PLATTSBURGH,523,['NY']
BUTTE - BOZEMAN,754,['MT']
CASPER - RIVERTON,767,['WY']
CEDAR RAPIDS - WTRLO - IWC&DUB,637,['IA']
CHAMPAIGN & SPRNGFLD - DECATUR,648,['IL']
CHARLESTON - HUNTINGTON,564,"['KY', 'OH', 'WV']"
"CHARLESTON, SC",519,['SC']
CHARLOTTE,517,"['NC', 'SC']"
CHARLOTTESVILLE,584,['VA']
CHATTANOOGA,575,"['GA', 'TN']"
CHEYENNE - SCOTTSBLUF,759,"['NE', 'WY']"
CHICAGO,602,"['IL', 'IN']"
CHICO - REDDING,868,['CA']
CINCINNATI,515,"['IN', 'KY', 'OH']"
CLARKSBURG - WESTON,598,['WV']
CLEVELAND - AKRON (CANTON),510,['OH']
COLORADO SPRINGS - PUEBLO,752,['CO']
COLUMBIA - JEFFERSON CITY,604,['MO']
"COLUMBIA, SC",546,['SC']
COLUMBUS - TUPELO - WEST POINT,673,"['AL', 'MS']"
"COLUMBUS, GA",522,"['AL', 'GA']"
"COLUMBUS, OH",535,['OH']
CORPUS CHRISTI,600,['TX']
DALLAS - FT. WORTH,623,['TX']
DAVENPORT - R. ISLAND - MOLINE,682,"['IA', 'IL']"
DAYTON,542,"['IN', 'OH']"
DENVER,751,"['CO', 'NE', 'WY']"
DES MOINES - AMES,679,['IA']
DETROIT,505,['MI']
DOTHAN,606,"['AL', 'GA']"
DULUTH - SUPERIOR,676,"['MN', 'WI']"
EL PASO (LAS CRUCES),765,"['NM', 'TX']"
ELMIRA (CORNING),565,"['NY', 'PA']"
ERIE,516,['PA']
EUGENE,801,['OR']
EUREKA,802,['CA']
EVANSVILLE,649,"['IL', 'IN', 'KY']"
FAIRBANKS,745,['AK']
FARGO - VALLEY CITY,724,"['MN', 'ND']"
FLINT - SAGINAW - BAY CITY,513,['MI']
FRESNO - VISALIA,866,['CA']
FT. MYERS - NAPLES,571,['FL']
FT. SMITH - FAY - SPRNGDL - RGRS,670,"['AR', 'OK']"
FT. WAYNE,509,"['IN', 'OH']"
GAINESVILLE,592,['FL']
GLENDIVE,798,['MT']
GRAND JUNCTION - MONTROSE,773,['CO']
GRAND RAPIDS - KALMZOO - B. CRK,563,['MI']
GREAT FALLS,755,['MT']
GREEN BAY - APPLETON,658,"['MI', 'WI']"
GREENSBORO - H. POINT - W. SALEM,518,['NC']
GREENVILLE - N. BERN - WASHNGTN,545,['NC']
GREENVLL - SPART - ASHEVLL - AND,567,"['GA', 'NC', 'SC']"
GREENWOOD - GREENVILLE,647,['MS']
HARLINGEN - WSLCO - BRNSVL - MCA,636,['TX']
HARRISBURG - LNCSTR - LEB - YORK,566,['PA']
HARRISONBURG,569,"['VA', 'WV']"
HATTIESBURG - LAUREL,710,['MS']
HELENA,766,['MT']
HONOLULU,744,['HI']
HOUSTON,618,['TX']
HUNTSVILLE - DECATUR (FLOR),691,"['AL', 'TN']"
IDAHO FALLS - POCATELLO,758,"['ID', 'WY']"
INDIANAPOLIS,527,['IN']
"JACKSON, MS",718,['MS']
"JACKSON, TN",639,['TN']
JACKSONVILLE,561,"['FL', 'GA']"
JOHNSTOWN - ALTOONA,574,['PA']
JONESBORO,734,['AR']
JOPLIN - PITTSBURG,603,"['KS', 'MO', 'OK']"
JUNEAU,747,['AK']
KANSAS CITY,616,"['KS', 'MO']"
KNOXVILLE,557,"['KY', 'TN']"
LA CROSSE - EAU CLAIRE,702,"['MN', 'WI']"
"LAFAYETTE, IN",582,['IN']
"LAFAYETTE, LA",642,['LA']
LAKE CHARLES,643,['LA']
LANSING,551,['MI']
LAREDO,749,['TX']
LAS VEGAS,839,['NV']
LEXINGTON,541,['KY']
LIMA,558,['OH']
LINCOLN & HSTNGS - KRNY,722,"['KS', 'NE']"
LITTLE ROCK - PINE BLUFF,693,['AR']
LOS ANGELES,803,['CA']
LOUISVILLE,529,"['IN', 'KY']"
LUBBOCK,651,['TX']
MACON,503,['GA']
MADISON,669,['WI']
MANKATO,737,['MN']
MARQUETTE,553,['MI']
MEDFORD - KLAMATH FALLS,813,"['CA', 'OR']"
MEMPHIS,640,"['AR', 'MS', 'TN']"
MERIDIAN,711,"['AL', 'MS']"
MIAMI - FT. LAUDERDALE,528,['FL']
MILWAUKEE,617,['WI']
MINNEAPOLIS - ST. PAUL,613,"['MN', 'WI']"
MINOT - BISMARCK - DICKINSON,687,"['MT', 'ND']"
MISSOULA,762,['MT']
MOBILE - PENSACOLA (FT WALT),686,"['AL', 'FL']"
MONROE - EL DORADO,628,"['AR', 'LA']"
MONTEREY - SALINAS,828,['CA']
MONTGOMERY (SELMA),698,['AL']
MYRTLE BEACH - FLORENCE,570,"['NC', 'SC']"
NASHVILLE,659,"['KY', 'TN']"
NEW ORLEANS,622,"['LA', 'MS']"
NEW YORK,501,['NY']
NORFOLK - PORTSMTH - NEWPT NWS,544,"['NC', 'VA']"
NORTH PLATTE,740,['NE']
ODESSA - MIDLAND,633,['TX']
OKLAHOMA CITY,650,['OK']
OMAHA,652,"['IA', 'NE']"
ORLANDO - DAYTONA BCH - MELBRN,534,['FL']
OTTUMWA - KIRKSVILLE,631,"['IA', 'MO']"
PADUCAH - CAPE GIRAR D - HARSBG,632,"['IL', 'KY', 'MO', 'TN']"
PALM SPRINGS,804,['CA']
PANAMA CITY,656,['FL']
PARKERSBURG,597,"['OH', 'WV']"
PEORIA - BLOOMINGTON,675,['IL']
PHILADELPHIA,504,"['DE', 'PA']"
PHOENIX (PRESCOTT),753,['AZ']
PITTSBURGH,508,"['PA', 'WV']"
"PORTLAND, OR",820,"['OR', 'WA']"
QUINCY - HANNIBAL - KEOKUK,717,"['IA', 'IL', 'MO']"
RALEIGH - DURHAM (FAYETVLLE),560,['NC']
RAPID CITY,764,"['SD', 'WY']"
RENO,811,"['CA', 'NV']"
RICHMOND - PETERSBURG,556,['VA']
ROANOKE - LYNCHBURG,573,['VA']
"ROCHESTER, NY",538,['NY']
ROCHESTR - MASON CITY - AUSTIN,611,"['IA', 'MN']"
ROCKFORD,610,['IL']
SACRAMNTO - STKTN - MODESTO,862,['CA']
SALISBURY,576,"['DE', 'MD']"
SALT LAKE CITY,770,"['NV', 'UT', 'WY']"
SAN ANGELO,661,['TX']
SAN ANTONIO,641,['TX']
SAN DIEGO,825,['CA']
SAN FRANCISCO - OAK - SAN JOSE,807,['CA']
SANTABARBRA - SANMAR - SANLUOB,855,['CA']
SAVANNAH,507,"['GA', 'SC']"
SEATTLE - TACOMA,819,['WA']
SHERMAN - ADA,657,"['OK', 'TX']"
SHREVEPORT,612,"['AR', 'LA', 'OK', 'TX']"
SIOUX CITY,624,"['IA', 'NE']"
SIOUX FALLS (MITCHELL),725,"['MN', 'SD']"
SOUTH BEND - ELKHART,588,"['IN', 'MI']"
SPOKANE,881,"['ID', 'WA']"
"SPRINGFIELD, MO",619,"['AR', 'MO']"
ST. JOSEPH,638,"['KS', 'MO']"
ST. LOUIS,609,"['IL', 'MO']"
SYRACUSE,555,['NY']
TALLAHASSEE - THOMASVILLE,530,"['FL', 'GA']"
TAMPA - ST. PETE (SARASOTA),539,['FL']
TERRE HAUTE,581,"['IL', 'IN']"
TOLEDO,547,"['MI', 'OH']"
TOPEKA,605,['KS']
TRAVERSE CITY - CADILLAC,540,['MI']
"TRI - CITIES, TN - VA",531,"['KY', 'TN', 'VA']"
TUCSON (SIERRA VISTA),789,['AZ']
TULSA,671,"['KS', 'OK']"
TWIN FALLS,760,['ID']
TYLER - LONGVIEW (LFKN & NCGD),709,['TX']
UTICA,526,['NY']
VICTORIA,626,['TX']
WACO - TEMPLE - BRYAN,625,['TX']
"WASHINGTON, DC (HAGRSTWN)",511,"['DC', 'MD', 'VA', 'WV']"
WATERTOWN,549,['NY']
WAUSAU - RHINELANDER,705,['WI']
WEST PALM BEACH - FT. PIERCE,548,['FL']
WHEELING - STEUBENVILLE,554,"['OH', 'WV']"
WICHITA - HUTCHINSON PLUS,678,['KS']
WICHITA FALLS & LAWTON,627,"['OK', 'TX']"
WILKES BARRE - SCRANTON,577,['PA']
WILMINGTON,550,['NC']
YAKIMA - PASCO - RCHLND - KNNWCK,810,"['OR', 'WA']"
YOUNGSTOWN,536,"['OH', 'PA']"
YUMA - EL CENTRO,771,"['AZ', 'CA']"
ZANESVILLE,596,['OH']
